categoryId,branchId,renewals,price,issues
2,16,1874,3052.54,7120
2,17,3867,6211.3,14750
2,19,417,1505.65,2403
2,21,232,561.37,713
2,22,12,35.94,15
2,23,1106,3986.69,5020
2,24,50,112.82,133
2,25,152,120.82,380
2,26,116,198.2,349
2,33,0,10.99,0
2,34,22,15.99,10
3,0,44,67.98,127
3,1,18521,21588.36,44607
3,2,1951,4299.06,7363
3,3,473,2135.85,2018
3,4,11045,14081.66,30287
3,5,134,390.41,234
3,6,2626,2548.95,5460
3,7,2938,6203.45,10745
3,8,3184,4766.95,10389
3,9,2415,5197.11,8074
3,10,508,2119.89,2366
3,11,942,3312.16,2869
3,12,113,350.93,187
3,13,0,18.0,0
3,14,7,1270.17,46
3,15,2304,6138.39,8952
3,16,852,1890.31,2097
3,17,2320,4944.06,7637
3,19,383,1336.57,1467
3,21,211,447.29,632
3,22,15,10.49,50
3,23,728,2537.2,2741
3,24,44,172.69,271
3,25,170,60.4,222
3,26,77,143.31,380
3,30,10,17.97,25
3,32,63,180.69,1370
3,34,13,20.5,7
4,1,1173,3461.25,2341
4,2,7,0.0,16
4,3,34,345.89,85
4,4,1358,3026.74,2623
4,5,1,4.99,12
4,7,505,1861.12,1208
4,8,395,1804.62,881
4,9,539,1057.92,772
4,11,116,409.63,229
4,15,738,2293.89,1115
4,16,187,797.25,398
4,17,467,1339.05,714
4,19,4,99.75,43
4,21,13,189.43,64
4,23,22,20.95,7
4,25,16,17.95,1
4,26,22,328.55,99
4,32,28,4.65,1556
5,1,217,1024.04,524
5,2,362,2492.05,1328
5,3,0,78.9,5
5,4,348,1312.9,944
5,5,12809,71112.82,59609
5,7,234,886.85,612
5,8,39,76.9,105
5,9,79,730.9,304
5,11,28,485.45,109
5,12,95,513.3,369
5,14,0,50.45,0
5,15,420,2717.15,1549
5,16,128,776.7,432
5,17,53,438.44,204
5,19,34,240.7,134
5,21,11,152.35,72
5,22,1,37.95,5
5,23,12,147.4,51
5,24,7,128.85,48
5,25,3,37.95,23
5,26,17,345.55,56
5,32,0,35.95,20
6,0,24,45.5,39
6,1,28272,19516.89,68806
6,2,728,1896.11,1551
6,3,399,1064.29,1888
6,4,6908,5538.95,13273
6,5,1,2.75,9
6,7,3414,3535.11,8165
6,8,713,1318.5,1950
6,9,3050,2467.04,3974
6,10,203,607.36,470
6,11,601,1229.44,1785
6,12,28,42.99,32
6,13,640,927.12,1935
6,14,38,43.98,3
6,15,900,2100.45,1275
6,16,1745,1174.69,3994
6,17,1158,1558.09,2373
6,19,520,544.42,1411
6,21,111,387.63,316
6,23,249,749.44,961
6,25,144,127.2,181
6,26,1,0.0,10
7,1,301,243.6,746
7,2,108,188.62,549
7,3,54,129.75,203
7,4,615,434.21,2101
